"Feature,Coefficient,Abs_Coefficient"
"Paved Drive_N,-0.01111991045293624,0.01111991045293624"
"Garage Cond_None,-0.010919720887220208,0.010919720887220208"
"Garage Qual_None,-0.010919720887220208,0.010919720887220208"
"Garage Finish_None,-0.010919720887220208,0.010919720887220208"
"Alley_None,-0.010893986875498599,0.010893986875498599"
"Electrical_FuseP,0.010714250772547437,0.010714250772547437"
"Exterior 1st_VinylSd,-0.010629135630945637,0.010629135630945637"
"Lot Config_Inside,0.010607340506171119,0.010607340506171119"
"House Style_2Story,-0.010399247909645965,0.010399247909645965"
"House Style_2.5Unf,0.010014685416309108,0.010014685416309108"
"Mas Vnr Area,0.009856267974034324,0.009856267974034324"
"Lot Shape_IR1,0.009751785325268266,0.009751785325268266"
"Fence_GdWo,-0.009547892549813674,0.009547892549813674"
"Sale Type_CWD,0.00927561061483998,0.00927561061483998"
"2nd Flr SF,-0.0083342185848507,0.0083342185848507"
"Lot Config_Corner,0.008188228767538946,0.008188228767538946"
"Pool QC_Fa,0.008080525932004017,0.008080525932004017"
"Garage Qual_Gd,0.008077971142611674,0.008077971142611674"
"Foundation_Wood,-0.007867641302064276,0.007867641302064276"
"Heating_Wall,-0.007851396862740308,0.007851396862740308"
"Exter Qual_Gd,-0.007613707161391711,0.007613707161391711"
"Yr Sold,-0.007398556149208301,0.007398556149208301"
"Fireplace Qu_TA,-0.0072222733825780625,0.0072222733825780625"
"Neighborhood_Blmngtn,-0.007206346568435357,0.007206346568435357"
"Neighborhood_BrkSide,-0.007158012679527776,0.007158012679527776"
"Pool Area,0.006824581076102377,0.006824581076102377"
"Garage Area,0.006779645470670848,0.006779645470670848"
"Pool QC_TA,-0.006305561628637088,0.006305561628637088"
"Sale Condition_Normal,-0.006101637646333304,0.006101637646333304"
"Exterior 1st_BrkComm,0.006097041576867796,0.006097041576867796"
"Half Bath,0.006030604328187776,0.006030604328187776"
"Exterior 2nd_Stucco,0.006004823094226365,0.006004823094226365"
"Exterior 2nd_VinylSd,0.0057109214497999255,0.0057109214497999255"
"Garage Finish_Fin,0.005606776341278033,0.005606776341278033"
"BsmtFin Type 1_ALQ,-0.0054537840223403845,0.0054537840223403845"
"Lot Frontage,0.005435218369548432,0.005435218369548432"
"Kitchen AbvGr,-0.005318480341660531,0.005318480341660531"
"MS SubClass_30,0.005270849334242229,0.005270849334242229"
"Fireplace Qu_Gd,0.00519624771174054,0.00519624771174054"
"Fireplace Qu_Fa,-0.005164577366477643,0.005164577366477643"
"BsmtFin Type 2_ALQ,0.005144063924646589,0.005144063924646589"
"Exterior 2nd_Wd Shng,0.00512242753652696,0.00512242753652696"
"Condition 2_RRAn,-0.0050298584227624005,0.0050298584227624005"
"Low Qual Fin SF,-0.005017880285364659,0.005017880285364659"
"Garage Yr Blt,0.005004605444662086,0.005004605444662086"
"Mas Vnr Type_BrkCmn,0.005003245348953109,0.005003245348953109"
"Exterior 2nd_ImStucc,-0.004978581862398282,0.004978581862398282"
"Garage Cond_Po,-0.004965390279657767,0.004965390279657767"
"Fireplace Qu_None,-0.0049254814047368116,0.0049254814047368116"
"Fence_GdPrv,0.004873779420588345,0.004873779420588345"
"Garage Finish_Unf,0.004526084782764898,0.004526084782764898"
"Exterior 2nd_HdBoard,0.00451895507703075,0.00451895507703075"
"Fence_None,0.0044971712505962845,0.0044971712505962845"
"Foundation_CBlock,-0.004243879584167268,0.004243879584167268"
"Exter Qual_Ex,0.004205442897842877,0.004205442897842877"
"MS SubClass_180,0.004042507830344676,0.004042507830344676"
"Garage Cond_Fa,0.004029332596507602,0.004029332596507602"
"Wood Deck SF,0.003946048309691618,0.003946048309691618"
"Bedroom AbvGr,-0.0038670046263816035,0.0038670046263816035"
"Bsmt Exposure_Av,0.0036580315288757977,0.0036580315288757977"
"House Style_1Story,-0.0036390270516461717,0.0036390270516461717"
"Sale Type_WD ,0.003585263410125547,0.003585263410125547"
"Street_Pave,0.0035028684442636555,0.0035028684442636555"
"Street_Grvl,-0.0035028684441729594,0.0035028684441729594"
"Fence_MnPrv,0.0032817668422353606,0.0032817668422353606"
"Enclosed Porch,0.003280109932633591,0.003280109932633591"
"Exterior 1st_MetalSd,0.0032355548496837976,0.0032355548496837976"
"Foundation_PConc,0.0031921742610882264,0.0031921742610882264"
"Open Porch SF,0.0031460043986469718,0.0031460043986469718"
"Fence_MnWw,-0.00310482496360631,0.00310482496360631"
"Bsmt Unf SF,-0.00310382726116495,0.00310382726116495"
"BsmtFin Type 1_GLQ,-0.0030761586365859856,0.0030761586365859856"
"Exterior 2nd_MetalSd,0.0029992240934366143,0.0029992240934366143"
"MS Zoning_I (all),0.0028610533905233356,0.0028610533905233356"
"Exterior 2nd_Plywood,0.0027836410025191033,0.0027836410025191033"
"Land Slope_Gtl,0.0027565112453797032,0.0027565112453797032"
"Paved Drive_P,-0.0025383075401053034,0.0025383075401053034"
"1st Flr SF,0.002538087498286162,0.002538087498286162"
"Condition 2_Feedr,-0.002343329599555928,0.002343329599555928"
"Fireplace Qu_Po,-0.0019532707645446012,0.0019532707645446012"
"Land Contour_Low,-0.0019430856696136974,0.0019430856696136974"
"Bsmt Half Bath,0.0019313207188530895,0.0019313207188530895"
"3Ssn Porch,0.0018586137659735622,0.0018586137659735622"
"Bldg Type_TwnhsE,-0.0014808267113005172,0.0014808267113005172"
"Heating_Floor,0.0014740832278097638,0.0014740832278097638"
"Bsmt Cond_Gd,-0.0013683673416016004,0.0013683673416016004"
"Foundation_Slab,-0.0010654883489866534,0.0010654883489866534"
"Garage Finish_RFn,0.0007868597627375381,0.0007868597627375381"
"TotRms AbvGrd,0.00011974762285075962,0.00011974762285075962"
"Mo Sold,-0.00010545118911421886,0.00010545118911421886"
